name,number,birth,position,height/weight,career,down_payment,salary,rank,year,image,team
 김태현,No.15,1998년 03월 21일,투수(좌투좌타),188cm/95kg, 김해삼성초-내동중-김해고-NC-경찰,30000만원,3000만원,17 NC 1차,17NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67956.jpg,NC
 김태훈,No.27,1992년 03월 02일,투수(우투우타),187cm/101kg, 남부민초-대신중-부경고-히어로즈-경찰-히어로즈-키움,2000만원,18000만원,12 넥센 9라운드 79순위,12넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62360.jpg,삼성
 김한별,No.68,2001년 01월 18일,내야수(우투우타),177cm/85kg, 효제초-선린중-배재고,,3100만원,20 NC 2차 7라운드 61순위,22NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50902.jpg,NC
 김헌곤,No.34,1988년 11월 09일,외야수(우투우타),174cm/81kg, 회원초-경복중-제주관광고-영남대-삼성-상무,7000만원,12000만원,11 삼성 5라운드 36순위,11삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/61404.jpg,삼성
 김현수,No.22,1988년 01월 12일,외야수(우투좌타),188cm/100kg, 쌍문초-신일중-신일고-두산-볼티모어-필라델피아,,100000만원,06 두산 육성선수,06두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/76290.jpg,LG
 김현준,No.41,2002년 10월 11일,외야수(좌투좌타),178cm/78kg, 가산초(부산진구리틀)-센텀중-개성고,3000만원,8000만원,21 삼성 2차 9라운드 83순위,21삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51417.jpg,삼성
 김형준,No.47,1999년 11월 02일,포수(우투우타),187cm/98kg, 가동초-세광중-세광고-NC-상무,15000만원,5000만원,18 NC 2차 1라운드 9순위,18NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68912.jpg,NC
 김혜성,No.3,1999년 01월 27일,내야수(우투좌타),180cm/80kg, 문촌초(고양시리틀)-동산중-동산고-히어로즈,13000만원,42000만원,17 넥센 2차 1라운드 7순위,17넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67304.jpg,키움
 김호재,No.8,1995년 05월 31일,내야수(우투우타),178cm/72kg, 서울도곡초-서울이수중-장충고,,5600만원,14 삼성 육성선수,18삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/64407.jpg,삼성
 김휘집,No.33,2002년 01월 01일,내야수(우투우타),181cm/92kg, 양목초(히어로즈리틀)-대치중-신일고,10000만원,7400만원,21 키움 2차 1라운드 9순위,21키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51344.jpg,키움
 나균안,No.43,1998년 03월 16일,투수(우투우타),186cm/109kg, 무학초-창원신월중-용마고,15000만원,10900만원,17 롯데 2차 1라운드 3순위,17롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67539.jpg,롯데
 나성범,No.47,1989년 10월 03일,외야수(좌투좌타),183cm/100kg, 광주대성초-진흥중-진흥고-연세대-NC,30000만원,80000만원,12 NC 2라운드 10순위,12NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62947.jpg,KIA
 남지민,No.11,2001년 02월 12일,투수(우투우타),181cm/100kg, 양정초-개성중-부산정보고,16000만원,4300만원,20 한화 2차 1라운드 8순위,20한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50720.jpg,한화
 노건우,No.37,1989년 10월 22일,투수(좌투좌타),182cm/100kg, 서흥초-상인천중-화순고-동국대-NC-상무-NC,30000만원,4800만원,12 NC 우선지명,12NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62920.jpg,삼성
 노경은,No.38,1984년 03월 11일,투수(우투우타),187cm/100kg, 화곡초-성남중-성남고-두산-롯데,35000만원,17000만원,03 두산 1차,03두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/73211.jpg,SSG
 노시환,No.8,2000년 12월 03일,내야수(우투우타),185cm/105kg, 부산수영초-경남중-경남고,20000만원,13100만원,19 한화 2차 1라운드 3순위,19한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/69737.jpg,한화
 노진혁,No.52,1989년 07월 15일,내야수(우투좌타),184cm/80kg, 광주대성초-광주동성중-광주동성고-성균관대-NC-상무-NC,8000만원,50000만원,12 NC 특별 20순위,12NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62931.jpg,롯데
 도슨,No.27,1995년 05월 19일,외야수(우투좌타),188cm/97kg, 미국 Ohio State(대),,80000달러,23 키움 자유선발,23키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53327.jpg,키움
 도태훈,No.16,1993년 03월 18일,내야수(우투좌타),184cm/85kg, 양정초-개성중-부산고-동의대-NC-상무,,5000만원,16 NC 육성선수,16NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66965.jpg,NC
 로하스,No.11,1993년 02월 24일,외야수(우투좌타),183cm/90kg, 미국 Vanguard(대),50000달러,850000달러,23 두산 자유선발,23두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53211.jpg,두산
 류지혁,No.42,1994년 01월 13일,내야수(우투좌타),181cm/75kg, 청원초-선린중-충암고-두산-상무-두산-KIA,7000만원,15500만원,12 두산 4라운드 36순위,12두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62234.jpg,삼성
 류진욱,No.41,1996년 10월 10일,투수(우투우타),189cm/88kg, 양정초-개성중-부산고,10000만원,7500만원,15 NC 2차 2라운드 21순위,15NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/65949.jpg,NC
