이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
한승택,KIA,2019,C,0.633,702.0,6.06,0.992,0.13,-0.08,-0.06,0.31,0.0
이명기,KIA,2018,RF,0.556,969.1,6.17,0.992,13.76,0.24,0.0,0.0,-2.32
박찬호,KIA,2019,3B,0.528,1141.0,5.06,0.968,1.81,0.13,0.0,0.0,0.0
김선빈,KIA,2019,SS,0.522,912.2,5.06,0.978,-0.05,0.82,0.0,0.0,0.0
김민식,KIA,2021,C,0.519,606.0,5.18,0.99,0.16,-0.1,0.16,-0.23,0.0
이범호,KIA,2018,3B,0.494,751.0,5.54,0.982,3.07,1.29,0.0,0.0,0.0
김선빈,KIA,2020,2B,0.488,621.1,5.2,0.992,3.22,0.84,0.0,0.0,0.0
한승택,KIA,2020,C,0.425,597.0,4.47,0.995,-0.44,0.25,-0.33,-0.4,0.0
한승택,KIA,2022,C,0.407,298.2,3.88,1.0,0.46,0.44,0.29,0.26,0.0
김규성,KIA,2020,2B,0.401,486.0,4.19,0.98,2.9,0.04,0.0,0.0,0.0
한승택,KIA,2018,C,0.384,254.2,4.27,0.996,0.61,0.19,0.9,0.13,0.0
김호령,KIA,2021,CF,0.35,394.0,3.49,1.0,0.83,0.19,0.0,0.0,1.8
김호령,KIA,2022,CF,0.289,209.0,2.78,0.958,1.69,-0.46,0.0,0.0,1.21
황윤호,KIA,2018,SS,0.286,205.1,3.16,0.971,2.37,0.01,0.0,0.0,0.0
소크라테스,KIA,2022,CF,0.196,1084.2,1.92,0.985,5.55,-0.29,0.0,0.0,-4.66
김민식,KIA,2022,C,0.188,148.0,1.8,0.987,1.0,-0.18,0.3,-0.53,0.0
황윤호,KIA,2019,2B,0.185,297.2,1.79,0.956,1.61,-0.43,0.0,0.0,0.0
이창진,KIA,2021,CF,0.177,631.1,1.76,0.995,4.11,0.1,0.0,0.0,-3.03
최형우,KIA,2019,LF,0.169,350.0,1.66,1.0,3.5,0.18,0.0,0.0,-0.24
백용환,KIA,2020,C,0.157,199.0,1.66,0.982,0.01,-0.32,0.19,-0.03,0.0
홍종표,KIA,2020,2B,0.151,192.2,1.57,1.0,0.78,0.45,0.0,0.0,0.0
신범수,KIA,2019,C,0.148,126.2,1.44,0.992,0.0,-0.03,0.39,0.03,0.0
황윤호,KIA,2020,3B,0.141,160.1,1.48,0.931,1.5,-0.32,0.0,0.0,0.0
박민,KIA,2021,SS,0.14,94.2,1.37,0.949,0.93,-0.04,0.0,0.0,0.0
김민식,KIA,2019,C,0.137,260.0,1.31,0.986,0.15,-0.26,-0.35,-0.37,0.0
김도영,KIA,2022,3B,0.134,567.2,1.29,0.941,0.58,-0.75,0.0,0.0,0.0
박준태,KIA,2019,RF,0.106,126.1,1.01,1.0,-0.2,0.1,0.0,0.0,1.62
김태진,KIA,2021,3B,0.104,830.2,1.04,0.937,0.45,-0.84,0.0,0.0,0.0
나주환,KIA,2021,3B,0.091,53.2,0.9,1.0,0.75,0.15,0.0,0.0,0.0
백용환,KIA,2019,C,0.089,104.1,0.86,0.979,-0.25,-0.26,0.31,0.21,0.0
이영욱,KIA,2018,CF,0.081,41.0,0.88,1.0,1.05,0.02,0.0,0.0,-0.21
박찬호,KIA,2021,SS,0.078,1100.1,0.78,0.956,-4.31,-0.57,0.0,0.0,0.0
최정용,KIA,2022,2B,0.074,49.2,0.71,0.952,0.69,-0.07,0.0,0.0,0.0
나지완,KIA,2018,LF,0.074,58.2,0.83,1.0,1.36,0.04,0.0,0.0,-0.23
류지혁,KIA,2020,3B,0.067,39.0,0.72,0.938,0.73,-0.09,0.0,0.0,0.0
최정민,KIA,2021,CF,0.062,59.0,0.62,1.0,0.7,0.05,0.0,0.0,-0.09
최정용,KIA,2021,2B,0.052,101.2,0.52,0.964,0.47,-0.12,0.0,0.0,0.0
이진영,KIA,2021,CF,0.052,107.0,0.53,1.0,0.2,0.06,0.0,0.0,0.3
한준수,KIA,2019,C,0.047,39.0,0.45,1.0,0.08,0.05,-0.08,0.09,0.0
이진영,KIA,2019,RF,0.047,40.0,0.44,1.0,0.54,0.03,0.0,0.0,0.02
박정우,KIA,2022,CF,0.043,19.0,0.42,1.0,0.42,0.01,0.0,0.0,-0.04
백용환,KIA,2018,C,0.041,119.1,0.46,0.979,-0.36,-0.22,-0.07,-0.04,0.0
박정우,KIA,2021,CF,0.041,159.0,0.4,1.0,0.32,0.08,0.0,0.0,-0.07
최형우,KIA,2021,LF,0.037,10.0,0.37,1.0,0.42,0.0,0.0,0.0,-0.0
김선빈,KIA,2022,2B,0.035,1137.0,0.34,0.983,-2.59,1.03,0.0,0.0,0.0
서동욱,KIA,2018,1B,0.027,89.1,0.3,0.988,0.96,-0.04,0.0,0.0,0.0
김영환,KIA,2020,2B,0.026,14.0,0.27,1.0,0.2,0.04,0.0,0.0,0.0
박민,KIA,2022,3B,0.023,8.0,0.22,1.0,0.17,0.03,0.0,0.0,0.0
이창진,KIA,2018,LF,0.019,7.0,0.21,1.0,0.17,0.02,0.0,0.0,0.0
류승현,KIA,2022,RF,0.018,2.0,0.17,1.0,0.18,0.0,0.0,0.0,-0.0
강경학,KIA,2021,2B,0.018,36.0,0.18,0.96,0.18,-0.09,0.0,0.0,0.0
최형우,KIA,2022,LF,0.018,133.0,0.17,1.0,1.27,0.09,0.0,0.0,-0.51
신범수,KIA,2018,C,0.012,54.2,0.14,1.0,-0.09,0.08,-0.12,-0.22,0.0
문선재,KIA,2020,LF,0.012,25.0,0.12,1.0,0.12,0.01,0.0,0.0,0.07
이정훈,KIA,2019,C,0.009,32.0,0.09,1.0,0.0,0.04,-0.35,0.13,0.0
권혁경,KIA,2021,C,0.007,41.0,0.07,1.0,-0.0,0.06,-0.16,-0.17,0.0
이범호,KIA,2019,1B,0.004,15.0,0.04,1.0,0.09,0.03,0.0,0.0,0.0
이정훈,KIA,2020,C,0.004,3.0,0.04,1.0,0.0,0.0,0.0,0.01,0.0
유민상,KIA,2018,1B,0.004,28.0,0.04,1.0,0.15,0.04,0.0,0.0,0.08
권혁경,KIA,2022,C,-0.001,4.0,-0.01,1.0,0.0,0.01,0.0,-0.05,0.0
신범수,KIA,2022,C,-0.002,8.0,-0.02,1.0,0.0,0.01,-0.06,-0.03,0.0
